Time	uobs	vobs	uroms	vroms
2013-04-18 02:00:00	-0.12047335760584335	-0.001403883337242169	4.316666666666358e-05	-0.00497766
2013-04-18 03:00:00	-0.10474469137297979	0.00838308962609933	-0.0197937	-0.005997
2013-04-18 04:00:00	-0.10625180318852456	-0.029377387250860892	0.01060556666666667	-0.016974333333333334
2013-04-18 05:00:00	-0.06877595263737463	-0.03472927072473021	0.04100483333333334	-0.027951666666666666
2013-04-18 06:00:00	0.009067214794288122	-0.006868780614071373	0.07140410000000001	-0.038929000000000005
2013-04-18 07:00:00	0.09938613098774057	0.038811122339964296	0.09366406666666667	-0.0365974
2013-04-18 08:00:00	0.12595518945311332	0.041980059624544756	0.11592403333333334	-0.0342658
2013-04-18 09:00:00	0.0736101706610203	0.05738966827971276	0.138184	-0.031934199999999996
2013-04-18 10:00:00	0.018762084080253368	0.052519488772887944	0.09672636666666667	-0.006762333333333332
2013-04-18 11:00:00	-0.03488535343076225	0.0659539109227861	0.055268733333333334	0.018409533333333332
2013-04-18 12:00:00	-0.0834791151203386	0.06234486241844836	0.0138111	0.0435814
2013-04-18 13:00:00	-0.11032675651331804	0.04480403250267815	-0.009287799999999995	0.04131423333333333
2013-04-18 14:00:00	-0.1228187226806012	0.019683899267055154	-0.03238669999999999	0.03904706666666667
2013-04-18 15:00:00	-0.14376059658615645	0.002332734541774452	-0.055485599999999996	0.036779900000000004
2013-04-18 16:00:00	-0.12385750272626886	-0.031732627426866174	-0.0260983	0.0192734
2013-04-18 17:00:00	-0.04457056286974165	-0.02642020865690519	0.0032889999999999933	0.0017668999999999949
2013-04-18 18:00:00	-0.009676523837092842	-0.05450169904626988	0.0326763	-0.015739600000000003
2013-04-18 19:00:00	0.046080519893612545	-0.03449858102276644	0.06429886666666668	-0.02023896666666667
2013-04-18 20:00:00	0.06011543388194823	-0.0159431926048427	0.09592143333333336	-0.024738333333333334
2013-04-18 21:00:00	0.13180425876014584	2.557222162763483e-05	0.12754400000000002	-0.029237700000000002
2013-04-18 22:00:00	0.07527157174634204	0.011897637079911483	0.09728763333333335	-0.008119600000000001
2013-04-18 23:00:00	0.04081909051296339	0.008970932557125881	0.06703126666666667	0.0129985
2013-04-19 00:00:00	-0.0011392285929975137	-0.010887340789324879	0.0367749	0.0341166
2013-04-19 01:00:00	-0.033301291321645325	0.020089656761898892	0.004154566666666665	0.03785653333333333
2013-04-19 02:00:00	-0.10886847034262492	0.0131333274632515	-0.02846576666666667	0.04159646666666667
2013-04-19 03:00:00	-0.1277074210646695	0.02211639476748428	-0.0610861	0.045336400000000006
2013-04-19 04:00:00	-0.10709831766591028	-0.027239052445556425	-0.04624063333333333	0.029389296666666672
2013-04-19 05:00:00	-0.08285287763190227	-0.057022424695140995	-0.03139516666666667	0.013442193333333338
2013-04-19 06:00:00	-0.09853374654052231	-0.09900559885778232	-0.0165497	-0.00250491
2013-04-19 07:00:00	0.026712623866474466	-0.0458906455736707	0.004357266666666665	-0.00878534
2013-04-19 08:00:00	0.08158067590399776	0.0024116333255451844	0.02526423333333333	-0.015065770000000003
2013-04-19 09:00:00	0.01783528339212818	-0.10023306984884019	0.046171199999999996	-0.021346200000000003
2013-04-19 10:00:00	0.004499146045099706	-0.08916108507143049	0.007387866666666666	-0.009457866666666669
2013-04-19 11:00:00	-0.043870005041797715	-0.09426502699242514	-0.03139546666666666	0.0024304666666666655
2013-04-19 12:00:00	-0.1245006095077926	-0.12084323114447967	-0.0701788	0.0143188
2013-04-19 13:00:00	-0.19020385914704935	-0.13537958705273634	-0.11656553333333333	0.002045833333333332
2013-04-19 14:00:00	-0.2234496060865826	-0.1415898983720275	-0.16295226666666668	-0.010227133333333336
2013-04-19 15:00:00	-0.2611037583215713	-0.14689474351249102	-0.209339	-0.0225001
2013-04-19 16:00:00	-0.20757247872788412	-0.16806037925329723	-0.18729633333333331	-0.05462573333333333
2013-04-19 17:00:00	-0.1916094104428752	-0.13416404167933293	-0.16525366666666666	-0.08675136666666666
2013-04-19 18:00:00	-0.10492512722500656	-0.0916328595977785	-0.14321099999999998	-0.118877
2013-04-19 19:00:00	-0.09074690491572118	-0.14754389981702754	-0.09696166999999997	-0.13035166666666667
2013-04-19 20:00:00	-0.019387012716466562	-0.0924991722283587	-0.05071233999999998	-0.14182633333333333
2013-04-19 21:00:00	0.0022352026049333113	-0.12005840034880902	-0.00446301	-0.153301
2013-04-19 22:00:00	0.0257615241078634	-0.12335145786284803	-0.0028917453333333334	-0.136342
2013-04-19 23:00:00	0.0010647766510092718	-0.09922523620875623	-0.0013204806666666665	-0.11938299999999999
2013-04-20 00:00:00	0.0008119036723201033	-0.09503790871897842	0.000250784	-0.102424
2013-04-20 01:00:00	-0.0347036148513216	-0.0851504810834979	-0.03262601066666668	-0.0853478
2013-04-20 02:00:00	-0.060256710060918366	-0.07342909517101802	-0.06550280533333334	-0.0682716
2013-04-20 03:00:00	-0.08442289832960423	-0.08215558327118926	-0.09837960000000001	-0.0511954
2013-04-20 04:00:00	-0.07594477004121236	-0.0815558983742891	-0.07978526666666667	-0.061827933333333335
2013-04-20 05:00:00	-0.056580879145489184	-0.13170205860245143	-0.061190933333333336	-0.07246046666666667
2013-04-20 06:00:00	0.024400452593541386	-0.11752762617031937	-0.0425966	-0.083093
2013-04-20 07:00:00	0.09039884329783131	-0.07803398642043184	-0.005731600000000003	-0.08501433333333333
2013-04-20 08:00:00	0.12292904632917843	-0.056731002105098606	0.03113339999999999	-0.08693566666666667
